"sex","survive","length","alar","weight","lbh","lhum","lfem","ltibio","wskull","lkeel"
1,0,165,255,28.6,31.5,17.9,18.9,29.8,15.6,21.7
1,1,160,253,26.7,32.1,18.8,18.1,28.4,15,21.9
1,0,157,238,24.7,31.2,17.3,17.2,29.4,15.2,19.5
1,1,158,245,24.9,31.4,18.4,17.9,28.4,14.7,21.7
1,0,164,250,27.3,31.8,19.4,18.4,29.7,14.9,21.8
1,1,161,247,23.8,31.4,18.7,17.6,28,15.3,20
1,0,166,256,25.7,31.7,19.1,19.1,30.1,15.1,21.8
1,1,160,247,25.6,32.3,19.2,18.9,28.8,15.4,22.9
1,0,167,255,29,32.2,19.4,18.9,30.4,16.2,21.7
1,1,160,247,27,32,19.2,18.7,29.8,16,22.2
1,0,161,246,25,31.5,18.8,18,28.5,14.9,21.6
1,1,153,241,24.7,32.2,18.5,17.3,27.7,15,22.5
1,0,166,254,27.5,31.4,19.3,18.8,28.5,15.3,23.2
1,1,156,246,24.6,32,18.8,18.7,29.6,15,21.6
1,0,161,251,26,31.5,18.6,18,28.5,15,21
0,0,155,240,26.3,31.4,18,18,28.6,15.6,20.7
1,1,156,245,25.5,32.1,19.3,18.2,29.1,15.7,20.7
0,0,156,240,25.8,31.5,18.2,17.2,28.6,15.2,20.6
1,1,163,248,24.8,32.2,18.8,18.6,29.6,15.4,21.7
0,0,160,242,26,32.6,18.8,18.6,29.4,15.2,21.7
1,1,163,248,26.3,33,18.7,17.9,29.2,15.5,21.3
0,0,152,232,23.2,30.3,17.2,17.3,26.6,15,19.8
1,1,160,250,24.4,31.5,18.9,18.2,29.8,15.3,22.7
0,0,160,250,26.5,31.7,18.8,18.6,30.1,15.6,22.5
1,1,156,237,23.3,30.6,17.6,16.9,25.7,14.9,19.7
0,0,155,237,24.2,31,18.5,18.4,28.4,15.5,20
1,1,162,253,26.7,32,19.3,18.6,30.4,16,22.3
0,0,157,245,26.9,32.2,19.5,19.1,31.2,15.7,21.4
1,1,163,254,26.4,32,19.5,19,29.6,15.4,22.5
0,0,165,245,27.7,33.1,19.8,19.2,30.4,16.1,22.7
1,1,164,251,26.9,32,19.2,18.8,29.7,15.7,22.5
0,0,153,231,23.9,30.1,17.3,16.8,26.5,15,19.8
1,1,163,244,24.3,31.3,18.2,17.3,27.5,15.5,22.7
0,0,162,239,26.1,30.3,18,17.4,27.7,14.9,23.1
1,1,160,247,27,31.5,19.4,18.6,29.9,15.7,21.5
0,0,162,243,24.6,31.6,18.8,18.5,29.5,15.4,21.3
1,1,160,250,26.8,32.5,19.4,18.5,28.5,16.1,21.4
0,0,159,245,23.6,31.8,18.5,17.8,28.7,15.5,21.7
1,1,158,247,24.9,32.4,18.9,18.4,28.9,14.9,22
0,0,159,247,26,30.9,18.1,16.9,27.9,14.7,19
1,1,158,249,26.1,32.2,18.8,18.7,29.2,15.3,20.8
0,0,155,243,25,30.9,18.5,18.1,28.6,15.2,21.3
1,1,158,243,26.6,32.4,19,18.1,29.5,15.5,22.6
0,0,162,252,24.8,31.9,19.1,18.7,30,15.6,22.2
1,1,155,237,23.3,30.2,17.4,16.6,25.7,14.9,20.2
0,0,152,230,22.8,30.4,17.3,16.9,26.5,14,18.6
0,1,156,245,25.3,31.6,18.5,18,29.3,15.7,20.5
0,1,154,240,22.6,30.4,17.9,17.4,28,14.8,19.6
0,0,159,242,24.8,30.8,18.2,16.9,27.7,14.6,20.5
0,1,153,240,25.1,31,18.4,18.1,28.5,14.9,20.6
0,0,155,238,24.6,31.2,17.9,17.8,28,14.9,19.3
0,1,153,236,23.2,30.9,17.7,17.2,28.8,15.1,20.2
0,0,163,249,30.5,33.4,19.5,19.5,30.7,16.3,22.8
0,1,155,243,24.4,31.5,18.6,18.7,29.7,15.1,20.3
0,0,163,242,24.8,31,18.1,18.1,28.7,15.4,20.7
0,0,156,237,23.9,31.7,18.2,18.2,27.7,15.5,20.3
0,1,163,247,25.1,32,19,18.6,29.6,15.3,20.9
0,1,157,238,24.6,30.9,18.4,18.5,29.8,14.9,20.2
0,0,159,238,24.7,31.5,18.4,17.8,29.1,15.2,20.3
0,1,155,239,24,32.8,18.6,18.8,29.8,15.3,21.2
0,0,161,245,26.9,32.1,19.1,17.9,29,15.4,20.8
0,0,155,235,22.6,30.7,17.7,17.6,28.4,14.8,19.6
0,1,164,248,24.2,32.7,19.1,19.1,30.5,15.3,21.1
0,1,158,238,24.9,31,18.8,17.5,27.7,15,22
0,0,162,247,26.1,31.9,19.1,18.7,29.4,15.7,20.4
0,0,153,237,24.8,30.6,18.6,18.2,29.8,15.1,20.4
0,1,158,240,24.1,31.3,18.6,17.9,28.1,15,22
0,1,160,244,24,31.1,18.6,18.5,29.3,15,20.5
0,0,162,245,26.2,32.5,18.5,18.6,28,15.6,21.1
0,1,161,246,26,32.3,19.3,18.6,29.3,15.8,21.8
0,0,164,248,26.1,32.3,18.8,18,29.4,15,20.9
0,1,157,245,24.9,32,19.1,18.8,30.1,15.1,20
0,1,157,235,25.5,31.5,18.1,17.9,28.8,15.5,19.8
0,1,156,237,23.4,30.9,18,17.6,28.5,15.6,20.3
0,1,158,244,25.9,31.4,18.5,17.9,29.1,15.2,21.6
0,1,153,238,24.2,30.5,18.2,18,28.3,15.1,20.9
0,1,155,236,24.2,30.3,18.5,17.9,28.4,14.9,20.1
0,1,163,246,27.4,32.5,18.6,18.1,29.5,16,21.9
0,1,159,236,24,31.5,18,18.1,28.7,15.4,21.5
