"BLOCK","ROW","COLUMN","UID","Mx.Number","Genotype","StemDiam1","StemDiam2","StemDiam3","meanStemDiam","sdStemDiam","ClumpDiam","TransectCount","TallestStemTrueLeaf","TallestStemLigule","TallestStemFlower","FloweringIntensityLessThan50","FloweringIntensityGreaterThan50","FloweringIntensityGreaterThan80","SenescedGreaterThan80"
3,9,6,"aBR 15 fS B3-R9 C6","giganteus","Gig",3.91,3.86,2.96,3.6,0.5,200,14,63,63,NA,"y","","","y"
1,1,6,"aBR 15 fS B1-R1 C6"," - Goliath","Gol",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
1,2,12,"aBR 15 fS B1-R2 C12"," - Goliath","Gol",8.12,7.97,7.98,8,0.1,280,12,180,210,212,"","","y","y"
1,2,11,"aBR 15 fS B1-R2 C11"," - Goliath","Gol",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
1,3,4,"aBR 15 fS B1-R3 C4"," - Goliath","Gol",7.08,6.31,8.61,7.3,1.2,300,12,156,183,NA,"","","y","y"
1,9,9,"aBR 15 fS B1-R9 C9"," - Goliath","Gol",8.23,7.16,7.58,7.7,0.5,270,11,146,185,196,"","","y","y"
2,4,11,"aBR 15 fS B2-R4 C11"," - Goliath","Gol",7.86,7.01,7.95,7.6,0.5,320,9,193,221,NA,"","","y","y"
2,6,9,"aBR 15 fS B2-R6 C9"," - Goliath","Gol",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
2,6,8,"aBR 15 fS B2-R6 C8"," - Goliath","Gol",9.39,8.99,8.85,9.1,0.3,300,11,194,228,NA,"","","y","y"
2,9,6,"aBR 15 fS B2-R9 C6"," - Goliath","Gol",7.15,8.81,7.8,7.9,0.8,320,11,185,211,NA,"","","y","y"
3,3,2,"aBR 15 fS B3-R3 C2"," - Goliath","Gol",7.1,7.92,7.17,7.4,0.5,300,13,179,204,NA,"","","y","y"
3,3,4,"aBR 15 fS B3-R3 C4"," - Goliath","Gol",6.88,7.76,8.61,7.8,0.9,260,8,166,197,NA,"","","y","y"
3,5,6,"aBR 15 fS B3-R5 C6"," - Goliath","Gol",7.82,7.1,7.79,7.6,0.4,330,11,189,213,NA,"","","y","y"
3,6,12,"aBR 15 fS B3-R6 C12"," - Goliath","Gol",6.97,6.48,8.01,7.2,0.8,280,7,168,194,NA,"","","y","y"
